"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.68338235996734,1.57931066406189,-1.412009661994,4.77877438192868,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.68338235996734,1.39004602406151,-1.46112020998257,4.82788492991725,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.20787245724068,1.60566293655656,-1.939169069721,4.35491398420236,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.577557993289139,1.77172223494648,-4.05006976439306,2.89495377781478,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.577557993289139,1.64769464018772,-4.304902225694,3.14978623911572,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.524736843471387,1.7142954672824,-3.88469421820516,2.83522053126238,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.130792271296195,1.53469610006323,-3.1387413546342,2.87715681204181,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.130792271296195,1.03843752653738,-2.47990116007118,2.21831661747879,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.0655402804151436,1.5419944848293,-3.08779393503996,2.95671337420967,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",0.41419994289231,1.37442224930626,-2.27961816529848,3.1080180510831,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",0.41419994289231,1.32889076025961,-2.59195980900532,3.42035969478994,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.413776663485346,1.38093180764616,-2.29279994460691,3.12035327157761,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.0194167924658093,1.58845923266092,-3.13273967939135,3.09390609445973,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.0194167924658093,1.2785563107296,-2.91171210882363,2.87287852389201,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.033659338261564,1.62939029608213,-3.15988695881846,3.22720563534159,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-1.20936797857398,1.9322778495382,-4.99656297179336,2.57782701464541,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-1.20936797857398,1.76939216860118,-5.21201114657418,2.79327518942622,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-1.48318377694093,1.70086363386172,-4.81681524192382,1.85044768804196,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.251455950719182,1.5756529456998,-3.33967897642523,2.83676707498687,TRUE,10
